City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Neiafu,TO,2022-04-06 23:04:38,-18.65,-173.9833,84.88,79,75,10.36
177,Atbasar,KZ,2022-04-06 23:04:04,51.8,68.3333,19.09,98,14,3.15
178,Arlit,NE,2022-04-06 23:04:39,18.7369,7.3853,87.35,7,34,10.02
179,Port Alfred,ZA,2022-04-06 23:05:39,-33.5906,26.891,58.17,74,17,8.01
180,Shelburne,CA,2022-04-06 23:05:40,44.0787,-80.2041,50.9,81,100,14.81
181,Sansare,GT,2022-04-06 23:05:40,14.7472,-90.1125,83.26,29,78,5.91
182,Jumla,NP,2022-04-06 23:05:40,29.2747,82.1838,46.42,36,0,5.17
183,Laguna,US,2022-04-06 23:05:41,38.421,-121.4238,87.89,19,0,6.91
184,Mtinko,TZ,2022-04-06 23:05:41,-4.55,34.85,59.88,79,13,7.9
185,Teknaf,BD,2022-04-06 23:05:41,20.8624,92.3058,73.13,93,21,3.65
186,Norman Wells,CA,2022-04-06 23:05:42,65.282,-126.8329,33.73,93,11,4.41
187,Parry Sound,CA,2022-04-06 23:05:42,45.3501,-80.033,50.72,81,100,15.57
188,Pajapan,MX,2022-04-06 23:05:42,18.25,-94.7,93.36,30,42,7.65
189,Bambous Virieux,MU,2022-04-06 23:02:49,-20.3428,57.7575,74.21,75,79,13.51
190,Bara,NG,2022-04-06 23:05:43,10.3744,10.7288,85.55,20,32,4.61
191,Saint-Augustin,CA,2022-04-06 23:05:43,51.226,-58.6502,36.07,85,100,13.47
192,Durant,US,2022-04-06 23:05:43,33.994,-96.3708,69.96,15,0,13.8
193,Pitea,SE,2022-04-06 23:05:44,65.3172,21.4794,21.29,96,97,9.84
194,Saint-Philippe,RE,2022-04-06 23:05:44,-21.3585,55.7679,78.39,80,90,10.8
195,Shakawe,BW,2022-04-06 23:02:17,-18.3667,21.85,74.14,45,62,0.87
196,Rocha,UY,2022-04-06 23:05:44,-34.4833,-54.3333,63.52,70,0,6.53
197,Russell,US,2022-04-06 23:05:45,32.3502,-85.1999,81.68,88,100,8.05
198,Atasu,KZ,2022-04-06 23:05:45,48.6814,71.6433,33.84,88,58,10.71
199,Leningradskiy,RU,2022-04-06 23:05:45,69.3833,178.4167,-1.68,95,100,19.57
200,Acapulco,MX,2022-04-06 23:04:23,16.8634,-99.8901,78.62,78,100,13.8
201,Masumbwe,TZ,2022-04-06 23:05:46,-3.6333,32.1833,63.43,95,59,3.62
202,Ixtapa,MX,2022-04-06 23:05:46,20.7,-105.2,76.23,65,75,13.8
203,Miri,MY,2022-04-06 23:05:46,4.4148,114.0089,75.81,91,99,6.35
