City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Omboue,GA,-1.5746,9.2618,78.03,86,100,6.4,overcast clouds
289,Svencionys,LT,55.15,26.1667,36.82,78,72,8.16,broken clouds
290,Dingle,PH,10.9995,122.6711,72.75,96,100,7.72,light rain
291,Hovd,MN,48.0056,91.6419,28.42,36,5,4.76,clear sky
292,Nelson Bay,AU,-32.7167,152.15,64.0,96,7,6.22,clear sky
293,Half Moon Bay,US,37.4636,-122.4286,68.59,34,40,14.97,scattered clouds
294,Denpasar,ID,-8.65,115.2167,80.26,88,40,1.14,scattered clouds
295,Takoradi,GH,4.8845,-1.7554,83.26,77,67,9.33,broken clouds
296,Klaksvik,FO,62.2266,-6.589,34.72,64,98,9.78,overcast clouds
297,Beitbridge,ZW,-22.2167,30.0,74.93,53,99,12.06,overcast clouds
298,Amalapuram,IN,16.5833,82.0167,79.9,87,94,3.11,overcast clouds
299,Airai,TL,-8.9266,125.4092,57.43,70,16,1.39,few clouds
300,Concordia,AR,-31.393,-58.0209,76.78,77,17,11.99,few clouds
301,Asau,RO,46.4333,26.4,39.96,91,100,7.65,overcast clouds
302,Puro,PH,12.4841,123.3827,77.41,91,100,13.13,light rain
303,Castro,BR,-24.7911,-50.0119,77.59,49,99,1.48,overcast clouds
304,Rocha,UY,-34.4833,-54.3333,79.75,47,1,16.17,clear sky
305,Husavik,IS,66.0449,-17.3389,33.8,80,98,4.03,overcast clouds
306,Cabedelo,BR,-6.9811,-34.8339,84.87,71,74,14.45,broken clouds
307,Aklavik,CA,68.2191,-135.0107,1.4,78,20,0.0,few clouds
308,Luanda,AO,-8.8368,13.2343,80.6,78,20,8.05,few clouds
309,Uthal,PK,25.8072,66.6219,81.68,62,92,8.55,overcast clouds
310,Daru,PG,-9.0763,143.2092,79.97,87,100,6.11,overcast clouds
311,Vila Velha,BR,-20.3297,-40.2925,84.15,78,40,12.66,scattered clouds
