City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Balkanabat,TM,61.07,overcast clouds,39.5108,54.3671,Nebitchi Hotel
271,Yellowknife,CA,13.41,scattered clouds,62.456,-114.3525,The Explorer Hotel
272,Achalpur,IN,91.33,clear sky,21.2572,77.5086,Aashiyana Building
273,Xichang,CN,57.88,broken clouds,27.8964,102.2634,Xichang ibis Hotel
274,Longyearbyen,SJ,13.84,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
275,Kapoeta,SS,89.69,broken clouds,4.7717,33.5903,Eastgate Hotel
276,Havelock,US,57.97,clear sky,34.8791,-76.9013,Sherwood Motel
277,Oktyabrskoye,RU,55.54,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
278,Havoysund,NO,39.43,scattered clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
280,Sitka,US,37.29,clear sky,57.0531,-135.33,Westmark Sitka
281,Abu Kamal,SY,77.0,broken clouds,34.4506,40.9171,محطة التلفاز
282,Tuatapere,NZ,44.38,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
283,Ambilobe,MG,74.89,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
284,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
285,Cruz Grande,MX,93.27,few clouds,16.7333,-99.1333,Hotel Camila
286,Mastung,PK,72.37,few clouds,29.7994,66.845,Al Hasnan Cold Drink Santer
287,Kudahuvadhoo,MV,84.72,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
288,Omboue,GA,78.03,overcast clouds,-1.5746,9.2618,Hotel Olako
289,Svencionys,LT,36.82,broken clouds,55.15,26.1667,Šviesa
290,Dingle,PH,72.75,light rain,10.9995,122.6711,SEGAYA PROPERTY
291,Hovd,MN,28.42,clear sky,48.0056,91.6419,Hotel Khovd
292,Nelson Bay,AU,64.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
293,Half Moon Bay,US,68.59,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
294,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
295,Takoradi,GH,83.26,broken clouds,4.8845,-1.7554,Raybow International Hotel
296,Klaksvik,FO,34.72,overcast clouds,62.2266,-6.589,Airbnb rooms
297,Beitbridge,ZW,74.93,overcast clouds,-22.2167,30.0,Beitbridge Express Hotel
298,Amalapuram,IN,79.9,overcast clouds,16.5833,82.0167,swayamprabha service apartments
300,Concordia,AR,76.78,few clouds,-31.393,-58.0209,Palmar Hotel Casino
301,Asau,RO,39.96,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
303,Castro,BR,77.59,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
304,Rocha,UY,79.75,clear sky,-34.4833,-54.3333,Hotel Arrarte
305,Husavik,IS,33.8,overcast clouds,66.0449,-17.3389,Bjarnabúð
306,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
307,Aklavik,CA,1.4,few clouds,68.2191,-135.0107,Aklavik Inn
308,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
309,Uthal,PK,81.68,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
310,Daru,PG,79.97,overcast clouds,-9.0763,143.2092,Daru Lodge
311,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
312,Shenjiamen,CN,60.71,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
313,Havre-Saint-Pierre,CA,43.16,broken clouds,50.2334,-63.5986,Auberge Niapiskau
